Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.8,0.76,0.45,0.07
verw,0.91,0.82,0.55,0.04
sparkont,1.0,1.0,1.0,0.86
beszeit,0.95,0.92,0.78,0.16
rate,0.92,0.92,0.75,0.27
famges,0.99,0.99,0.97,0.69
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.92,0.91,0.73,0.29
verm,1.0,1.0,0.98,0.72
weitkred,0.51,0.55,0.26,0.04
wohn,0.99,0.99,0.98,0.76
bishkred,0.67,0.59,0.33,0.02
beruf,0.72,0.71,0.39,0.03
pers,0.58,0.67,0.41,0.21
telef,0.96,0.97,0.93,0.68
gastarb,0.99,0.99,0.97,0.79
kredit,0.84,0.88,0.72,0.43
