Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.79,0.2
moral,0.81,0.77,0.46,0.08
verw,0.89,0.78,0.47,0.0
sparkont,0.71,0.7,0.33,0.07
beszeit,0.95,0.94,0.81,0.23
rate,0.9,0.9,0.7,0.27
famges,0.77,0.74,0.45,0.1
buerge,0.35,0.43,0.15,0.06
wohnzeit,0.93,0.93,0.78,0.34
verm,0.98,0.97,0.91,0.47
weitkred,0.52,0.57,0.27,0.06
wohn,0.71,0.75,0.45,0.17
bishkred,0.66,0.59,0.32,0.03
beruf,0.73,0.71,0.4,0.03
pers,0.6,0.69,0.43,0.22
telef,0.96,0.97,0.93,0.67
gastarb,0.25,0.35,0.14,0.07
kredit,0.85,0.89,0.74,0.44
