Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.17
moral,0.77,0.73,0.41,0.07
verw,0.9,0.8,0.47,0.03
sparkont,0.74,0.73,0.36,0.08
beszeit,0.95,0.92,0.78,0.17
rate,0.9,0.91,0.7,0.29
famges,0.8,0.77,0.5,0.09
buerge,0.27,0.36,0.11,0.05
wohnzeit,0.93,0.92,0.76,0.32
verm,0.98,0.97,0.91,0.46
weitkred,0.47,0.52,0.23,0.05
wohn,0.67,0.71,0.4,0.14
bishkred,0.64,0.55,0.31,0.0
beruf,0.73,0.71,0.4,0.04
pers,0.54,0.63,0.37,0.19
telef,0.95,0.97,0.91,0.65
gastarb,0.14,0.23,0.08,0.04
kredit,0.82,0.87,0.7,0.41
