Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.95,0.57
moral,0.78,0.74,0.42,0.06
verw,0.89,0.79,0.47,0.02
sparkont,0.98,0.97,0.89,0.44
beszeit,0.95,0.93,0.78,0.21
rate,0.9,0.9,0.69,0.3
famges,0.95,0.95,0.83,0.41
buerge,0.32,0.4,0.14,0.07
wohnzeit,0.93,0.92,0.77,0.34
verm,0.99,0.99,0.98,0.74
weitkred,0.53,0.57,0.28,0.05
wohn,0.73,0.77,0.47,0.18
bishkred,0.66,0.59,0.32,0.03
beruf,0.71,0.7,0.39,0.03
pers,0.58,0.67,0.41,0.21
telef,0.97,0.98,0.95,0.72
gastarb,0.29,0.4,0.17,0.09
kredit,0.84,0.88,0.72,0.43
