Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.89,0.73,0.16
moral,0.8,0.77,0.45,0.11
verw,0.9,0.78,0.46,0.01
sparkont,0.72,0.71,0.34,0.08
beszeit,0.93,0.91,0.73,0.15
rate,0.9,0.9,0.7,0.27
famges,0.76,0.73,0.44,0.08
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.94,0.93,0.79,0.36
verm,0.98,0.98,0.93,0.53
weitkred,0.5,0.56,0.25,0.06
wohn,0.74,0.78,0.49,0.19
bishkred,0.64,0.56,0.31,0.01
beruf,0.72,0.69,0.39,0.02
pers,0.46,0.56,0.3,0.15
telef,0.94,0.95,0.88,0.6
gastarb,0.14,0.22,0.08,0.04
kredit,0.84,0.88,0.72,0.42
