Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.78,0.74,0.42,0.06
verw,0.9,0.78,0.46,0.01
sparkont,1.0,1.0,0.99,0.82
beszeit,0.95,0.93,0.78,0.2
rate,0.94,0.94,0.8,0.34
famges,1.0,1.0,0.99,0.79
buerge,0.25,0.32,0.1,0.02
wohnzeit,0.94,0.93,0.79,0.35
verm,1.0,1.0,0.99,0.79
weitkred,0.48,0.51,0.23,0.03
wohn,1.0,1.0,0.99,0.86
bishkred,0.66,0.58,0.33,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.56,0.65,0.39,0.2
telef,0.95,0.97,0.91,0.65
gastarb,0.98,0.99,0.97,0.78
kredit,0.8,0.85,0.67,0.38
