47, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
30, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,46, Iran, >50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, England, <=50K
26, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,3598,0,40, El-Salvador, >50K
69, Self-emp-not-inc, Doctorate, Married-civ-spouse, Tech-support, Husband, Other, Male,0,1671,15, United-States, >50K
25, Private, 12th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,54, Ecuador, <=50K
33, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
19, Private, Some-college, Separated, Handlers-cleaners, Own-child, Black, Female,0,0,14, Dominican-Republic, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, Scotland, <=50K
66, Self-emp-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,22726,0,40, South, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Nicaragua, >50K
56, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,60, Canada, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
27, Private, Some-college, Married-spouse-absent, Craft-repair, Husband, Black, Female,0,0,40, Poland, <=50K
40, Private, Bachelors, Divorced, Transport-moving, Own-child, Black, Female,0,0,45, Vietnam, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Male,0,0,40, Yugoslavia, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
38, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,60, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,30, Jamaica, <=50K
51, Self-emp-inc, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,1947,50, Trinadad&Tobago, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,60, El-Salvador, <=50K
30, Private, Bachelors, Married-civ-spouse, Protective-serv, Own-child, Black, Male,8879,0,40, Dominican-Republic, >50K
21, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Female,547,0,40, Germany, <=50K
30, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,1977,40, Cambodia, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
53, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Thailand, <=50K
31, Private, Some-college, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,20, El-Salvador, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,65, Guatemala, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,3390,0,40, Guatemala, >50K
19, State-gov, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
24, Private, HS-grad, Never-married, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
