28, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Cuba, <=50K
29, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Iran, >50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,0,40, El-Salvador, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,1913,40, Trinadad&Tobago, >50K
35, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Female,7298,0,37, Ecuador, <=50K
27, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
58, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,75, South, <=50K
32, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, South, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Iran, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, Mexico, >50K
47, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Cambodia, >50K
23, Private, Masters, Married-civ-spouse, Sales, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,1884,38, Philippines, <=50K
74, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, Black, Female,0,0,29, Vietnam, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,25, Yugoslavia, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,15024,0,60, Jamaica, >50K
40, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,60, Yugoslavia, <=50K
20, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
27, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Black, Female,0,0,40, Italy, <=50K
39, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
28, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, China, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, >50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,30, Dominican-Republic, <=50K
64, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,35, Germany, <=50K
31, Private, Bachelors, Separated, Craft-repair, Husband, Black, Female,0,0,40, Cambodia, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,3158,0,40, Canada, >50K
27, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Male,0,0,50, Thailand, <=50K
30, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
43, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,1902,12, Ecuador, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Greece, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, Guatemala, >50K
31, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,48, Dominican-Republic, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Mexico, <=50K
34, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, Japan, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,50, Jamaica, <=50K
55, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, France, <=50K
50, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,60, Laos, >50K
21, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,40, Philippines, <=50K
37, Federal-gov, Assoc-acdm, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
48, Local-gov, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Hong, <=50K
50, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,3103,0,40, Mexico, >50K
33, Self-emp-inc, Bachelors, Separated, Prof-specialty, Unmarried, Black, Male,0,0,59, Jamaica, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Honduras, <=50K
29, Self-emp-inc, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,54, Yugoslavia, <=50K
38, Private, Assoc-voc, Divorced, Craft-repair, Husband, Other, Male,3464,0,38, Cuba, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
50, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, >50K
60, Private, Some-college, Divorced, Sales, Husband, Other, Female,0,0,60, Nicaragua, <=50K
43, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
53, Self-emp-not-inc, 10th, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,30, Italy, <=50K
49, Private, HS-grad, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, Jamaica, >50K
27, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,2246,0,40, South, >50K
47, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,99999,0,40, Taiwan, <=50K
40, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
40, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
63, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,99999,0,40, Taiwan, >50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, Peru, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Guatemala, >50K
19, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,25, Poland, <=50K
