laufkont laufzeit moral verw hoehe sparkont beszeit rate famges buerge wohnzeit verm alter weitkred wohn bishkred beruf pers telef gastarb kredit
4 15 4 3 1360 4 3 4 3 1 2 2 30 3 2 2 3 2 1 2 1
2 30 3 9 2612 5 5 4 3 1 2 2 40 2 3 2 3 2 1 2 1
4 30 2 0 4069 1 3 2 1 1 2 3 44 3 1 1 2 1 1 2 0
2 26 0 9 8298 5 2 2 3 1 1 1 29 3 2 1 3 2 1 1 1
2 48 2 3 3985 2 4 4 3 1 1 3 39 3 1 4 3 2 2 1 1
3 12 4 3 1295 1 3 4 4 1 2 1 34 3 2 2 3 2 1 1 1
2 12 0 2 1819 5 2 3 3 1 2 2 42 3 3 1 3 2 1 2 1
3 9 4 0 5336 5 1 2 1 1 3 4 74 1 2 1 4 2 2 2 0
2 11 4 0 1410 1 5 4 2 1 4 3 34 1 1 2 3 2 1 2 1
1 24 3 0 5182 1 3 4 3 2 4 4 50 2 3 2 3 1 1 2 0
1 12 1 0 687 2 4 2 3 1 3 2 25 1 2 1 2 2 1 2 0
3 6 2 9 576 1 2 3 2 1 1 1 26 1 2 1 2 2 1 2 1
3 45 0 3 4821 1 3 4 3 1 2 2 24 1 2 2 2 2 1 1 0
3 15 2 1 1300 5 5 4 4 1 4 4 44 3 2 1 1 1 2 2 1
4 4 4 3 1546 1 4 1 2 1 3 1 40 3 1 3 2 1 2 1 1
2 36 2 0 12620 2 3 2 3 1 4 4 37 1 1 1 3 2 2 1 0
4 9 2 3 1108 5 5 4 2 1 4 1 48 3 1 1 3 2 1 2 1
4 21 4 2 1591 3 4 4 1 1 1 3 33 3 2 2 4 1 2 2 1
4 27 2 3 3479 1 3 2 1 1 2 3 27 3 2 1 3 2 1 2 0
4 4 4 3 609 1 2 1 3 1 4 2 23 3 1 1 2 1 1 1 1
1 24 2 3 930 1 3 4 2 1 2 3 30 3 2 1 4 2 2 2 1
4 36 2 3 2433 2 4 4 3 1 4 3 24 3 1 1 3 2 1 2 1
1 42 0 9 6227 1 2 2 3 1 2 4 32 3 2 2 3 2 1 2 0
2 12 2 0 651 1 3 2 3 1 1 1 48 1 2 1 2 2 1 1 0
3 36 2 1 6879 1 1 4 1 1 2 4 34 3 2 2 3 2 2 2 1
2 24 2 1 3016 5 3 4 4 1 4 4 62 3 2 1 3 1 2 1 1
1 12 2 9 2143 1 3 4 1 1 4 4 28 3 3 1 3 2 1 2 0
2 10 2 3 2346 1 5 2 3 1 4 1 49 3 3 1 2 2 1 1 1
4 24 2 0 1410 1 3 4 3 3 2 2 30 3 2 1 3 2 2 2 1
2 12 4 9 1412 4 3 4 4 1 2 1 30 1 2 1 3 2 2 1 1
4 36 2 0 896 3 5 4 3 1 4 1 35 3 2 1 3 1 1 2 1
1 24 2 3 1591 5 4 4 3 1 3 1 31 1 2 1 3 1 1 2 1
1 12 2 6 1196 2 3 1 2 1 4 2 23 3 1 1 3 2 2 2 1
3 12 2 3 650 3 3 4 4 1 2 3 29 3 2 1 3 2 1 2 0
2 6 4 3 415 2 5 3 3 1 2 4 38 3 2 2 2 2 1 2 1
2 24 1 1 7061 5 5 1 2 1 4 4 35 3 3 2 4 2 2 1 1
1 48 1 9 10308 1 5 4 3 1 4 4 38 2 3 1 3 1 2 2 0
1 24 2 2 3446 1 3 4 3 1 4 2 29 3 1 1 4 1 2 1 0
2 12 2 9 622 1 2 4 2 1 4 1 25 1 2 1 2 2 1 1 0
1 18 2 0 2861 1 3 1 4 1 4 4 33 2 2 1 2 1 1 1 0
4 36 4 2 2865 5 4 1 3 1 1 3 26 3 1 2 3 2 1 2 0
2 15 4 1 2685 1 4 4 3 1 3 1 34 1 3 3 4 2 2 2 1
1 27 3 1 6224 1 3 4 3 1 2 3 29 3 1 2 4 2 2 2 1
2 12 2 3 1889 1 3 3 3 1 2 1 43 3 1 1 3 2 1 2 1
4 15 0 0 1833 2 2 3 4 1 3 2 25 1 1 1 3 2 1 2 0
1 12 4 2 1784 1 5 3 2 1 4 1 63 3 2 2 3 2 2 2 1
1 30 2 2 6458 1 5 1 2 1 4 2 30 3 2 1 3 2 1 2 1
3 12 2 3 1568 1 3 1 2 3 1 1 22 3 1 1 3 2 2 2 1
4 60 3 3 15303 1 4 2 1 1 4 3 21 3 2 2 3 2 1 2 0
1 9 4 2 1295 3 5 4 3 1 4 3 46 3 1 2 3 2 1 2 1
1 24 1 0 1867 1 5 4 3 1 4 4 33 1 2 1 2 2 1 2 0
1 15 2 0 9988 1 5 1 2 1 1 4 44 3 3 1 4 2 2 1 0
2 15 3 0 2612 2 3 1 4 1 4 3 27 3 1 2 3 2 2 2 0
4 9 4 3 1444 1 4 2 3 1 2 1 26 3 1 2 3 2 1 2 1
4 24 2 3 1422 1 3 4 4 3 2 2 28 3 2 1 3 2 1 1 1
1 12 4 0 5013 1 5 2 3 1 4 4 42 3 2 1 3 2 2 2 1
1 36 2 2 3427 3 3 4 3 1 3 3 40 3 3 1 3 1 1 2 0
4 9 2 3 3877 4 5 1 3 1 4 3 63 3 3 1 2 2 1 2 1
1 12 4 0 1238 4 5 4 3 1 1 1 60 3 2 2 2 2 1 2 1
4 12 4 4 339 3 5 4 3 1 1 3 44 1 2 1 2 2 1 2 1
1 30 1 3 4584 1 4 4 2 1 4 3 26 3 2 1 4 2 2 2 1
1 36 4 2 7714 4 4 2 2 1 4 3 39 3 2 2 3 2 2 2 1
4 15 2 3 1516 2 3 1 2 1 2 1 22 3 2 1 2 2 1 2 1
4 24 2 2 2978 3 5 2 3 1 4 1 52 3 3 1 3 2 1 2 1
4 12 2 3 1743 1 2 3 2 1 4 1 30 3 3 1 2 2 1 2 1
1 15 1 0 965 4 5 4 3 1 3 2 32 1 3 2 3 1 1 2 0
3 24 2 0 1348 1 3 4 1 1 4 1 25 3 2 1 3 2 1 2 0
1 30 2 1 4780 1 4 2 4 1 4 2 24 1 1 1 2 2 1 2 1
4 48 4 2 6422 1 5 4 3 1 4 4 45 3 1 2 4 2 2 1 0
1 18 4 2 1297 1 2 3 1 1 3 2 26 3 2 2 3 2 1 2 1
4 12 4 9 1413 5 5 3 2 1 4 3 36 3 1 2 3 2 2 2 1
4 12 4 9 1423 4 3 4 2 3 2 2 28 3 2 2 3 2 2 1 1
1 24 2 1 6574 1 1 2 3 1 2 4 28 1 2 1 4 2 2 1 1
1 6 2 2 1238 3 1 4 4 1 4 4 35 3 2 1 3 1 2 1 1
4 12 2 2 647 5 5 4 2 1 4 2 24 1 1 1 3 2 1 2 1
1 36 4 2 2332 1 2 2 3 1 3 3 44 3 2 2 3 2 2 2 1
3 21 4 2 1687 1 4 2 3 1 3 2 30 3 2 2 3 2 2 2 0
4 6 1 9 1214 2 3 2 3 1 4 2 27 3 2 2 3 2 1 1 1
4 24 2 3 3147 2 5 3 3 1 2 3 36 3 2 1 4 2 2 2 1
1 24 2 9 1205 1 2 4 1 1 4 4 24 3 1 2 3 2 1 2 0
1 24 2 2 3832 1 5 2 2 1 2 2 27 3 2 1 3 2 1 2 1
4 13 3 0 809 2 3 4 3 1 2 3 26 3 2 2 3 2 1 1 1
1 18 2 2 3651 5 2 1 2 1 4 2 22 3 1 1 3 2 1 1 1
1 24 2 3 2359 1 5 4 2 3 4 4 63 1 3 3 2 2 1 2 0
3 24 2 0 1282 1 4 4 2 1 4 2 31 3 1 1 3 1 1 2 0
1 8 2 3 2570 1 3 1 2 3 3 4 34 3 2 1 3 2 1 1 1
4 10 2 0 1705 2 3 1 3 1 2 1 39 2 2 1 2 2 1 2 1
2 18 2 2 1531 1 2 3 2 2 1 3 26 3 2 1 3 2 1 2 1
1 21 4 2 2238 4 3 4 3 1 2 3 49 3 2 2 3 2 1 2 1
2 18 2 3 2624 5 3 4 2 1 4 3 33 3 2 1 3 2 1 2 1
2 9 2 2 930 1 2 4 2 1 1 2 29 3 2 1 3 2 2 2 0
1 12 2 0 2322 4 3 1 1 1 2 3 44 3 3 1 2 2 1 2 0
2 24 4 9 6577 3 2 3 3 1 2 3 32 3 2 1 3 2 1 2 1
4 48 0 9 12595 2 3 3 3 1 2 3 47 1 1 1 4 2 2 2 1
1 12 4 0 2184 1 2 4 3 1 4 2 37 1 2 2 1 2 1 2 1
2 15 2 6 391 2 2 4 1 1 4 2 23 3 2 4 3 2 2 2 1
3 36 4 9 8024 1 3 3 4 1 2 1 25 1 2 2 4 2 2 2 0
1 24 2 2 1576 1 4 4 1 1 4 4 24 1 1 1 2 2 1 2 0
2 12 2 3 1362 1 4 4 2 1 1 1 22 3 2 1 3 2 1 2 0
4 18 2 3 1440 2 4 4 3 1 4 3 48 1 2 1 2 2 1 1 1
2 30 4 3 3187 2 5 4 1 1 4 2 46 3 3 1 3 2 1 2 1
3 18 2 9 3191 1 3 4 2 1 2 3 24 3 2 1 3 2 1 2 0
4 36 3 9 7364 2 4 2 1 1 2 3 34 3 2 2 4 2 2 2 1
1 18 2 0 5733 1 5 4 3 1 4 4 35 1 3 3 4 2 2 2 1
3 7 4 0 717 1 3 4 3 1 4 4 46 1 2 2 2 1 1 2 1
1 21 3 9 2700 1 3 4 3 1 2 4 28 1 1 2 3 2 2 2 0
2 18 4 2 6429 1 5 4 3 1 3 2 39 3 2 1 3 2 2 2 1
3 18 2 3 1785 1 4 4 2 1 4 3 22 3 1 2 3 2 1 2 1
2 15 4 3 908 4 2 4 4 3 1 1 23 3 2 2 3 2 1 2 0
4 6 3 1 1741 4 3 1 1 1 2 1 33 3 1 2 2 2 1 1 1
1 27 2 2 2576 1 3 3 4 1 2 1 21 1 1 1 3 2 1 2 0
4 24 1 3 1041 5 5 4 3 1 2 3 24 3 2 2 3 2 2 1 1
2 9 2 9 3157 2 3 1 3 1 2 1 32 3 1 1 3 2 1 2 1
4 18 4 3 2241 1 3 3 3 1 4 1 25 3 2 2 3 2 1 1 1
4 24 4 1 1252 2 5 4 3 1 4 3 55 3 1 2 3 2 2 2 1
1 12 2 3 684 5 4 4 4 1 1 2 20 3 2 1 3 2 1 2 1
2 48 1 2 6711 1 5 4 2 1 4 2 57 3 2 1 3 1 1 2 0
2 46 2 2 3106 2 5 2 2 2 4 3 21 3 1 1 3 2 1 1 0
3 30 0 9 5521 1 3 1 3 1 3 4 27 3 2 2 4 2 2 2 0
3 11 3 0 1332 5 3 1 2 1 4 4 39 3 2 2 3 2 1 1 1
4 18 3 1 6154 3 3 1 1 1 2 3 29 3 3 2 3 1 2 2 1
1 36 2 2 2330 1 3 4 3 1 4 3 30 3 1 1 1 2 1 2 1
4 12 4 3 717 1 5 4 2 1 4 4 50 3 1 2 3 2 2 2 1
2 12 4 3 1100 1 4 4 2 1 1 1 28 3 2 1 3 1 1 2 1
3 24 2 9 4145 1 2 3 3 1 3 3 42 3 2 1 3 2 2 2 0
4 10 2 2 1987 2 3 2 1 1 4 2 37 3 2 1 3 2 2 2 1
2 24 2 2 4041 2 2 3 1 1 4 3 27 3 1 1 3 2 1 2 1
4 12 2 2 1448 4 1 2 3 1 3 1 63 3 2 1 2 2 1 2 1
4 36 4 2 10290 5 3 4 3 1 4 3 24 3 1 2 3 2 2 2 0
1 36 2 0 3244 1 4 2 3 1 4 4 38 1 3 3 4 1 2 1 1
2 36 0 0 10169 5 2 1 1 1 3 3 28 3 1 2 3 2 1 2 0
4 10 2 1 2978 5 3 2 3 1 2 1 31 3 2 1 3 1 1 2 1
1 18 2 3 2441 4 2 3 3 1 1 3 27 3 1 1 3 2 1 2 1
2 6 2 0 680 3 1 4 2 1 4 1 52 1 3 1 3 1 2 2 1
2 12 4 0 984 1 4 4 3 1 3 1 45 3 2 2 2 1 1 2 1
1 36 2 3 4029 1 3 4 2 1 2 4 23 3 2 1 3 2 2 2 1
4 12 2 1 4587 2 2 1 3 1 4 1 20 3 1 1 3 2 2 2 1
4 30 3 9 4272 2 3 2 3 1 2 2 26 1 2 2 2 2 1 2 1
4 9 2 2 2028 3 2 2 4 1 2 3 19 3 1 2 3 2 1 2 0
2 15 4 5 1533 1 3 3 2 1 2 1 60 3 2 2 1 2 1 1 0
4 24 4 0 1361 5 4 4 3 1 3 3 25 3 2 2 3 2 2 2 1
4 35 3 0 2832 5 3 2 3 1 2 3 26 3 2 2 3 2 2 1 1
2 24 2 2 2348 1 2 4 1 1 1 1 44 3 2 1 3 2 1 2 0
4 36 4 1 5893 1 5 1 1 1 2 3 36 3 2 2 3 2 2 2 1
2 24 2 3 1746 5 5 4 2 3 4 3 54 3 1 1 3 2 1 2 0
1 6 4 2 1880 1 5 4 3 1 4 4 35 3 2 3 4 2 2 2 1
2 30 2 2 3914 2 2 1 4 1 1 2 22 3 2 1 3 2 1 2 1
3 12 4 2 3567 5 4 2 1 1 4 2 36 2 2 2 2 1 1 2 1
1 48 3 9 14475 3 3 2 3 1 2 3 24 3 1 1 3 2 2 2 0
1 9 2 6 639 1 3 2 2 1 2 3 28 3 3 1 3 2 1 2 0
2 36 2 2 9372 1 1 1 2 1 1 2 28 3 3 1 4 2 2 2 0
1 12 2 2 2622 1 3 1 1 1 1 1 40 3 2 1 3 1 1 1 1
1 12 4 9 703 1 3 4 2 1 2 4 29 3 2 2 3 2 1 1 1
1 60 0 0 13594 5 3 1 3 1 4 4 61 1 3 1 3 2 2 1 1
1 6 4 2 1385 1 2 1 2 1 3 3 28 3 2 2 3 2 1 2 1
2 24 2 3 2039 1 2 4 2 1 1 3 22 3 1 1 3 2 2 2 0
2 30 4 3 6844 4 4 3 3 1 3 3 35 3 2 2 3 2 1 2 1
