39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Laos, >50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Germany, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,53, France, >50K
21, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,35, United-States, <=50K
50, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, France, >50K
54, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,60, England, >50K
69, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,2423,0,13, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, El-Salvador, <=50K
39, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
22, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Portugal, >50K
30, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,54, Canada, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,26560,0,65, Ecuador, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,40, Trinadad&Tobago, <=50K
39, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,54, Vietnam, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
67, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,25, Yugoslavia, <=50K
49, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,6, Outlying-US(Guam-USVI-etc), <=50K
20, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,45, Yugoslavia, <=50K
45, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,20, El-Salvador, >50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, France, <=50K
61, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, >50K
20, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Haiti, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Canada, <=50K
50, State-gov, Some-college, Separated, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
