Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.98,0.94,0.55
moral,0.79,0.76,0.44,0.08
verw,0.91,0.82,0.55,0.03
sparkont,0.96,0.95,0.82,0.37
beszeit,0.93,0.89,0.74,0.07
rate,0.94,0.94,0.78,0.36
famges,0.95,0.94,0.82,0.39
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.93,0.77,0.3
verm,1.0,1.0,0.99,0.83
weitkred,0.52,0.56,0.27,0.05
wohn,0.96,0.96,0.88,0.51
bishkred,0.66,0.6,0.33,0.03
beruf,0.68,0.67,0.35,0.02
pers,0.58,0.67,0.41,0.21
telef,0.97,0.98,0.94,0.71
gastarb,0.86,0.89,0.75,0.45
kredit,0.88,0.91,0.79,0.49
