42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,1977,60, Dominican-Republic, >50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Ireland, >50K
24, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Female,0,0,40, England, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,50, El-Salvador, <=50K
35, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,35, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, El-Salvador, <=50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, Ecuador, <=50K
18, Private, 11th, Married-spouse-absent, Craft-repair, Own-child, White, Male,0,0,30, Yugoslavia, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Dominican-Republic, >50K
33, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, South, <=50K
28, Private, Assoc-voc, Never-married, Craft-repair, Husband, White, Male,0,1656,40, South, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,65, Nicaragua, >50K
64, Self-emp-inc, Masters, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,20, Canada, <=50K
24, Self-emp-not-inc, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,35, Dominican-Republic, <=50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Portugal, <=50K
39, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,40, Vietnam, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, Columbia, >50K
29, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,1619,35, Yugoslavia, <=50K
29, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,19, Japan, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,54, Yugoslavia, >50K
28, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Ecuador, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,2403,40, Japan, >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,65, United-States, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,38, China, <=50K
29, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,37, El-Salvador, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Germany, <=50K
58, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,50, Cambodia, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Canada, >50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1891,40, Yugoslavia, >50K
62, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
40, Local-gov, Some-college, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Guatemala, <=50K
32, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, Guatemala, <=50K
65, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,1132,0,81, El-Salvador, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
57, Self-emp-not-inc, Masters, Divorced, Protective-serv, Not-in-family, White, Female,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
64, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, Laos, >50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, Japan, >50K
27, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, France, <=50K
41, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,38, Mexico, <=50K
63, Private, Assoc-acdm, Divorced, Other-service, Wife, White, Male,0,0,35, Poland, >50K
