Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.73,0.16
moral,0.77,0.72,0.4,0.05
verw,0.9,0.79,0.48,0.03
sparkont,0.73,0.72,0.35,0.06
beszeit,0.95,0.93,0.8,0.18
rate,0.9,0.91,0.7,0.31
famges,0.77,0.74,0.45,0.08
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.93,0.92,0.76,0.32
verm,0.98,0.97,0.91,0.49
weitkred,0.47,0.51,0.23,0.03
wohn,0.69,0.74,0.43,0.16
bishkred,0.66,0.58,0.33,0.01
beruf,0.74,0.71,0.41,0.02
pers,0.45,0.56,0.29,0.15
telef,0.95,0.97,0.91,0.65
gastarb,0.2,0.3,0.11,0.06
kredit,0.82,0.86,0.69,0.4
