Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.17
moral,0.76,0.72,0.39,0.06
verw,0.9,0.8,0.47,0.03
sparkont,0.74,0.73,0.36,0.08
beszeit,0.95,0.93,0.79,0.2
rate,0.9,0.91,0.7,0.28
famges,0.8,0.77,0.49,0.1
buerge,0.27,0.35,0.11,0.05
wohnzeit,0.92,0.91,0.75,0.29
verm,0.98,0.97,0.91,0.45
weitkred,0.47,0.52,0.23,0.04
wohn,0.68,0.72,0.41,0.15
bishkred,0.64,0.55,0.31,0.01
beruf,0.73,0.71,0.4,0.03
pers,0.48,0.58,0.32,0.16
telef,0.97,0.98,0.94,0.7
gastarb,0.16,0.25,0.09,0.04
kredit,0.82,0.86,0.69,0.4
