Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.9,0.73,0.18
moral,0.8,0.76,0.44,0.09
verw,0.89,0.76,0.44,0.01
sparkont,0.74,0.74,0.37,0.09
beszeit,0.95,0.92,0.78,0.16
rate,0.91,0.91,0.71,0.31
famges,0.78,0.76,0.47,0.11
buerge,0.27,0.35,0.11,0.04
wohnzeit,0.92,0.91,0.75,0.3
verm,0.98,0.98,0.92,0.49
weitkred,0.47,0.52,0.23,0.04
wohn,0.75,0.79,0.5,0.19
bishkred,0.66,0.59,0.32,0.01
beruf,0.74,0.7,0.41,0.02
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.95,0.72
gastarb,0.24,0.34,0.14,0.07
kredit,0.8,0.85,0.66,0.38
