Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.76,0.2
moral,0.8,0.76,0.44,0.09
verw,0.9,0.79,0.47,0.02
sparkont,0.71,0.71,0.33,0.09
beszeit,0.94,0.92,0.74,0.19
rate,0.91,0.92,0.73,0.3
famges,0.78,0.76,0.47,0.11
buerge,0.29,0.36,0.12,0.03
wohnzeit,0.91,0.91,0.73,0.3
verm,0.99,0.99,0.96,0.64
weitkred,0.48,0.51,0.23,0.03
wohn,0.76,0.79,0.51,0.19
bishkred,0.66,0.58,0.33,0.01
beruf,0.75,0.72,0.43,0.02
pers,0.57,0.66,0.4,0.21
telef,0.96,0.97,0.93,0.67
gastarb,0.26,0.37,0.15,0.08
kredit,0.81,0.86,0.68,0.4
