Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.94,0.54
moral,0.81,0.78,0.46,0.09
verw,0.9,0.79,0.5,0.02
sparkont,0.95,0.95,0.81,0.35
beszeit,0.95,0.94,0.8,0.21
rate,0.91,0.91,0.71,0.28
famges,0.95,0.95,0.83,0.41
buerge,0.29,0.37,0.12,0.03
wohnzeit,0.95,0.94,0.82,0.37
verm,1.0,1.0,0.99,0.84
weitkred,0.5,0.54,0.25,0.05
wohn,0.96,0.96,0.88,0.5
bishkred,0.67,0.61,0.33,0.03
beruf,0.74,0.71,0.41,0.03
pers,0.56,0.65,0.39,0.2
telef,0.97,0.98,0.95,0.72
gastarb,0.86,0.89,0.75,0.45
kredit,0.85,0.89,0.74,0.44
