33, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
55, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Ireland, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, White, Female,0,0,40, England, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, El-Salvador, >50K
52, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
27, Private, 12th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,36, El-Salvador, <=50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,7687,0,84, Ecuador, >50K
29, Private, Assoc-voc, Divorced, Exec-managerial, Wife, White, Male,0,0,73, Yugoslavia, <=50K
57, Private, HS-grad, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, South, <=50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,30, South, <=50K
54, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,99999,0,40, Italy, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Nicaragua, >50K
42, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, Cambodia, >50K
29, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,1902,54, Cuba, <=50K
23, Private, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,40, Poland, <=50K
34, Self-emp-inc, Doctorate, Married-civ-spouse, Sales, Not-in-family, White, Male,99999,0,60, Vietnam, >50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,9678,0,60, Yugoslavia, >50K
64, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,99, Japan, >50K
46, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,25, Ecuador, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, Jamaica, <=50K
28, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
