Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.95,0.6
moral,0.77,0.72,0.4,0.06
verw,0.9,0.79,0.47,0.03
sparkont,0.95,0.95,0.8,0.37
beszeit,0.94,0.93,0.76,0.18
rate,0.94,0.94,0.8,0.34
famges,0.93,0.93,0.77,0.34
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.94,0.93,0.79,0.36
verm,1.0,1.0,0.98,0.75
weitkred,0.5,0.55,0.25,0.05
wohn,0.86,0.88,0.67,0.28
bishkred,0.66,0.58,0.33,0.01
beruf,0.71,0.7,0.38,0.03
pers,0.56,0.65,0.39,0.2
telef,0.95,0.97,0.91,0.64
gastarb,0.23,0.34,0.13,0.07
kredit,0.8,0.85,0.66,0.38
