Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.81,0.78,0.45,0.09
verw,0.89,0.78,0.48,0.01
sparkont,1.0,1.0,0.99,0.78
beszeit,0.95,0.94,0.8,0.23
rate,0.89,0.9,0.68,0.28
famges,1.0,1.0,0.98,0.72
buerge,0.33,0.41,0.14,0.06
wohnzeit,0.93,0.93,0.78,0.33
verm,1.0,1.0,0.99,0.82
weitkred,0.5,0.56,0.25,0.06
wohn,1.0,1.0,1.0,0.87
bishkred,0.67,0.61,0.34,0.04
beruf,0.74,0.71,0.42,0.02
pers,0.58,0.67,0.41,0.22
telef,0.95,0.97,0.91,0.65
gastarb,1.0,1.0,0.99,0.87
kredit,0.85,0.89,0.74,0.44
