61, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
42, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,48, Ireland, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,60, England, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, El-Salvador, >50K
23, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
68, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,30, El-Salvador, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
56, Private, Assoc-acdm, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
45, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,1977,40, South, <=50K
35, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, South, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,54, Nicaragua, >50K
55, Private, Some-college, Married-civ-spouse, Priv-house-serv, Husband, Other, Female,0,0,40, Canada, <=50K
26, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Poland, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Other-relative, Black, Female,0,0,60, Vietnam, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,20, Columbia, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,60, Yugoslavia, >50K
29, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, >50K
38, Private, Bachelors, Widowed, Craft-repair, Husband, Black, Male,3103,0,30, Yugoslavia, <=50K
29, Federal-gov, Doctorate, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Female,0,0,37, Jamaica, <=50K
41, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
24, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, China, <=50K
59, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, El-Salvador, >50K
64, Private, Bachelors, Divorced, Protective-serv, Not-in-family, Black, Male,0,0,46, Dominican-Republic, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,4697,0,40, Germany, <=50K
17, Private, 11th, Separated, Farming-fishing, Own-child, Black, Female,0,0,30, Cambodia, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,37, Canada, >50K
52, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
35, Private, Masters, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,5178,0,40, Thailand, <=50K
41, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
69, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,72, Guatemala, >50K
59, State-gov, HS-grad, Never-married, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Male,0,0,38, Ecuador, <=50K
24, Private, Bachelors, Never-married, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,32, Nicaragua, <=50K
25, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Japan, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Japan, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,47, Mexico, <=50K
21, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,40, Poland, <=50K
27, Local-gov, 1st-4th, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,46, England, <=50K
