Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,1.0,0.89
moral,0.8,0.76,0.44,0.06
verw,0.91,0.84,0.57,0.02
sparkont,1.0,1.0,1.0,0.86
beszeit,0.96,0.94,0.82,0.23
rate,0.91,0.91,0.72,0.33
famges,1.0,1.0,0.99,0.79
buerge,0.28,0.36,0.12,0.04
wohnzeit,0.94,0.94,0.8,0.37
verm,1.0,1.0,0.99,0.79
weitkred,0.51,0.57,0.26,0.09
wohn,1.0,1.0,0.99,0.86
bishkred,0.68,0.62,0.34,0.03
beruf,0.72,0.69,0.39,0.02
pers,0.6,0.69,0.43,0.23
telef,0.97,0.98,0.95,0.72
gastarb,1.0,1.0,0.99,0.89
kredit,0.85,0.89,0.73,0.44
