18, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,30, Dominican-Republic, <=50K
34, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,80, Iran, >50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,52, England, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,7687,0,25, El-Salvador, >50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
47, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
45, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
29, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
41, Local-gov, HS-grad, Married-spouse-absent, Exec-managerial, Husband, Black, Male,0,1948,40, Scotland, <=50K
20, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,40, Scotland, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
23, Private, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,50, Nicaragua, >50K
26, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,30, Cambodia, <=50K
36, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,8614,0,40, Poland, >50K
43, Private, Bachelors, Divorced, Transport-moving, Other-relative, Black, Female,0,0,50, Vietnam, <=50K
