Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.8,0.76,0.45,0.09
verw,0.88,0.75,0.42,0.0
sparkont,1.0,1.0,0.99,0.78
beszeit,0.95,0.93,0.79,0.18
rate,0.9,0.9,0.69,0.28
famges,1.0,1.0,0.99,0.75
buerge,0.3,0.38,0.13,0.04
wohnzeit,0.94,0.94,0.8,0.34
verm,1.0,1.0,0.99,0.82
weitkred,0.55,0.6,0.29,0.08
wohn,1.0,1.0,0.99,0.86
bishkred,0.69,0.62,0.35,0.04
beruf,0.71,0.69,0.38,0.02
pers,0.55,0.65,0.38,0.2
telef,0.97,0.98,0.94,0.71
gastarb,1.0,1.0,0.99,0.88
kredit,0.87,0.9,0.77,0.47
