26, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
30, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,30, Ireland, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, England, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
22, Private, 11th, Never-married, Prof-specialty, Other-relative, Black, Female,0,0,20, El-Salvador, <=50K
44, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Female,0,0,54, Ecuador, <=50K
68, Self-emp-not-inc, 9th, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
55, Local-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Scotland, <=50K
42, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,0,0,35, Ireland, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,7904,0,45, Canada, >50K
27, Self-emp-inc, Masters, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,20, Philippines, <=50K
28, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
56, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, Columbia, >50K
49, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,20, Yugoslavia, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,1977,30, Jamaica, >50K
45, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,52, Yugoslavia, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Female,0,0,40, Jamaica, <=50K
45, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
45, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,54, China, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
48, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,17, Dominican-Republic, <=50K
61, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
53, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,35, Cambodia, <=50K
69, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
40, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Thailand, <=50K
27, Private, Some-college, Never-married, Tech-support, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
