Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.8,0.21
moral,0.79,0.75,0.43,0.05
verw,0.88,0.76,0.42,0.01
sparkont,0.79,0.79,0.43,0.14
beszeit,0.94,0.92,0.77,0.17
rate,0.88,0.88,0.65,0.25
famges,0.82,0.8,0.53,0.12
buerge,0.34,0.42,0.15,0.05
wohnzeit,0.92,0.91,0.73,0.25
verm,0.98,0.98,0.93,0.53
weitkred,0.55,0.6,0.29,0.07
wohn,0.71,0.75,0.45,0.17
bishkred,0.66,0.59,0.32,0.03
beruf,0.7,0.66,0.36,0.01
pers,0.59,0.68,0.42,0.22
telef,0.96,0.97,0.92,0.67
gastarb,0.29,0.39,0.17,0.08
kredit,0.84,0.88,0.73,0.43
