50, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,65, Dominican-Republic, >50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, Iran, >50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
24, Private, HS-grad, Married-spouse-absent, Other-service, Own-child, Other, Male,0,0,29, El-Salvador, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,75, United-States, >50K
70, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, Black, Female,9830,0,50, El-Salvador, >50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,45, Ecuador, <=50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,1977,40, Yugoslavia, >50K
36, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
36, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
26, Private, 12th, Never-married, Other-service, Husband, White, Female,0,0,29, Scotland, <=50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,1844,50, Iran, >50K
65, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,50, Canada, >50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, Cuba, <=50K
64, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Philippines, <=50K
32, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,8, Columbia, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,42, Yugoslavia, >50K
25, Private, 9th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,28, Jamaica, <=50K
19, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,15, Yugoslavia, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,40, Jamaica, <=50K
54, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, China, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,7687,0,40, El-Salvador, >50K
43, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,50, Dominican-Republic, >50K
43, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Black, Female,7687,0,10, Germany, <=50K
24, Private, HS-grad, Separated, Craft-repair, Not-in-family, Black, Female,0,0,50, Cambodia, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,15, Canada, <=50K
56, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,35, Taiwan, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,65, Puerto-Rico, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,2443,0,40, El-Salvador, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Guatemala, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
37, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
22, Private, Bachelors, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,48, Dominican-Republic, <=50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,54, Nicaragua, >50K
20, Local-gov, 9th, Never-married, Adm-clerical, Own-child, Black, Female,0,0,35, Japan, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,45, Japan, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,5178,0,40, France, >50K
59, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
19, Private, Assoc-voc, Never-married, Other-service, Own-child, Black, Male,0,1883,25, Poland, <=50K
53, Federal-gov, 7th-8th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, England, >50K
29, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Hong, <=50K
44, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,50, Mexico, >50K
29, Private, Assoc-voc, Separated, Other-service, Unmarried, Other, Male,0,0,50, Jamaica, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Holand-Netherlands, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Yugoslavia, <=50K
25, Private, 9th, Divorced, Exec-managerial, Not-in-family, Other, Female,0,0,29, Cuba, <=50K
37, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,32, Ecuador, <=50K
64, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,48, Hungary, >50K
34, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Nicaragua, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, Cuba, >50K
58, Self-emp-not-inc, 11th, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,0,40, Italy, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, >50K
67, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, Taiwan, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,15, Ecuador, <=50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,60, Yugoslavia, >50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,48, Taiwan, >50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Greece, <=50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Philippines, <=50K
43, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, Haiti, >50K
26, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,48, Portugal, <=50K
60, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, Italy, <=50K
38, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
46, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,25, Germany, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,20, Ireland, <=50K
27, Private, Masters, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,35, Japan, <=50K
35, Private, 1st-4th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
36, Private, Doctorate, Divorced, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,15024,0,35, Dominican-Republic, <=50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Germany, <=50K
30, Private, 9th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, South, >50K
46, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
28, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
43, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Holand-Netherlands, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,44, Iran, >50K
41, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,15, Trinadad&Tobago, <=50K
36, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Thailand, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,40, Columbia, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,70, China, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,60, Honduras, >50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,54, Taiwan, >50K
50, Local-gov, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
43, State-gov, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,45, Guatemala, <=50K
28, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Thailand, <=50K
33, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, Amer-Indian-Eskimo, Female,0,0,20, China, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,1669,40, El-Salvador, >50K
47, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Other, Female,0,0,40, South, <=50K
69, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,3292,0,40, Taiwan, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
23, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,42, Puerto-Rico, <=50K
29, Private, Doctorate, Never-married, Tech-support, Husband, White, Female,3383,0,48, France, >50K
62, Local-gov, 7th-8th, Divorced, Other-service, Husband, Black, Male,0,0,40, China, >50K
48, Federal-gov, 5th-6th, Divorced, Protective-serv, Not-in-family, Black, Female,0,0,36, Jamaica, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Wife, Other, Male,0,0,40, Taiwan, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Poland, <=50K
40, Private, Masters, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,1549,0,40, Iran, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Thailand, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,48, England, <=50K
41, State-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,36, Haiti, <=50K
56, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, Taiwan, >50K
42, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,29, Taiwan, <=50K
40, State-gov, Prof-school, Never-married, Prof-specialty, Husband, White, Male,0,0,50, Guatemala, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,54, El-Salvador, >50K
48, Private, HS-grad, Never-married, Prof-specialty, Husband, Other, Male,15024,0,40, Greece, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,1977,48, Puerto-Rico, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,50, Taiwan, <=50K
21, Private, Some-college, Separated, Handlers-cleaners, Own-child, Other, Male,0,0,15, Nicaragua, <=50K
48, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Unmarried, Black, Male,0,0,40, Scotland, <=50K
80, Private, HS-grad, Widowed, Tech-support, Not-in-family, Amer-Indian-Eskimo, Male,0,0,25, Peru, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Taiwan, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,0,60, Portugal, <=50K
29, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,50, Nicaragua, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
36, Local-gov, 7th-8th, Never-married, Other-service, Unmarried, White, Male,0,0,40, Taiwan, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,20, El-Salvador, <=50K
57, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,2254,0,40, Holand-Netherlands, <=50K
33, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
