59, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,38, United-States, <=50K
59, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7305,0,50, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4541,0,46, United-States, >50K
34, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Self-emp-inc, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,60, Vietnam, <=50K
48, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, >50K
37, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male,0,1976,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Germany, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Married-spouse-absent, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
57, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
44, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
44, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
26, Federal-gov, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, >50K
27, Self-emp-inc, Some-college, Divorced, Protective-serv, Own-child, White, Female,0,0,12, United-States, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Philippines, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
32, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,0,0,38, United-States, <=50K
67, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,38, United-States, <=50K
35, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,35, England, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, India, >50K
53, State-gov, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,7298,0,40, United-States, <=50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,94, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,14058,0,40, United-States, >50K
55, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
40, Without-pay, HS-grad, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0,0,60, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,1895,45, United-States, <=50K
22, Private, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
60, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
62, Private, Assoc-acdm, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,99, United-States, >50K
40, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
