Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.8,0.77,0.45,0.09
verw,0.89,0.76,0.44,0.0
sparkont,0.99,0.99,0.97,0.7
beszeit,0.95,0.93,0.78,0.16
rate,0.91,0.91,0.72,0.32
famges,0.99,0.99,0.97,0.64
buerge,0.26,0.34,0.11,0.03
wohnzeit,0.93,0.92,0.76,0.31
verm,1.0,1.0,0.99,0.83
weitkred,0.47,0.52,0.23,0.04
wohn,0.99,1.0,0.98,0.78
bishkred,0.65,0.58,0.32,0.01
beruf,0.74,0.71,0.42,0.02
pers,0.52,0.62,0.35,0.18
telef,0.98,0.98,0.95,0.74
gastarb,0.98,0.99,0.97,0.78
kredit,0.81,0.86,0.68,0.39
