Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.89,0.74,0.15
moral,0.8,0.77,0.45,0.07
verw,0.9,0.79,0.48,0.0
sparkont,0.73,0.72,0.35,0.08
beszeit,0.95,0.93,0.79,0.21
rate,0.92,0.92,0.73,0.27
famges,0.79,0.77,0.49,0.09
buerge,0.33,0.41,0.14,0.06
wohnzeit,0.93,0.93,0.77,0.33
verm,0.98,0.98,0.93,0.5
weitkred,0.53,0.58,0.27,0.07
wohn,0.71,0.75,0.45,0.16
bishkred,0.66,0.6,0.33,0.02
beruf,0.74,0.69,0.41,0.01
pers,0.64,0.72,0.47,0.25
telef,0.98,0.99,0.96,0.75
gastarb,0.19,0.29,0.1,0.05
kredit,0.86,0.9,0.76,0.46
