Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.73,0.19
moral,0.77,0.74,0.4,0.09
verw,0.89,0.78,0.46,0.01
sparkont,0.7,0.69,0.31,0.07
beszeit,0.95,0.93,0.78,0.2
rate,0.9,0.9,0.7,0.28
famges,0.73,0.7,0.41,0.07
buerge,0.26,0.35,0.11,0.05
wohnzeit,0.92,0.91,0.74,0.31
verm,0.97,0.97,0.9,0.47
weitkred,0.5,0.55,0.25,0.06
wohn,0.75,0.78,0.5,0.19
bishkred,0.65,0.57,0.32,0.02
beruf,0.73,0.7,0.4,0.02
pers,0.55,0.64,0.38,0.2
telef,0.95,0.96,0.91,0.64
gastarb,0.16,0.25,0.09,0.04
kredit,0.85,0.89,0.74,0.44
