Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.89,0.72,0.15
moral,0.79,0.75,0.43,0.09
verw,0.9,0.78,0.46,0.02
sparkont,0.74,0.74,0.37,0.08
beszeit,0.95,0.93,0.78,0.17
rate,0.91,0.91,0.71,0.29
famges,0.74,0.71,0.41,0.07
buerge,0.28,0.36,0.11,0.05
wohnzeit,0.92,0.92,0.75,0.29
verm,0.99,0.99,0.95,0.6
weitkred,0.45,0.5,0.22,0.03
wohn,0.69,0.73,0.42,0.16
bishkred,0.64,0.57,0.31,0.01
beruf,0.67,0.66,0.33,0.02
pers,0.45,0.56,0.29,0.15
telef,0.97,0.98,0.93,0.69
gastarb,0.18,0.28,0.1,0.05
kredit,0.85,0.89,0.74,0.44
