Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.76
moral,0.78,0.75,0.42,0.08
verw,0.9,0.78,0.46,0.01
sparkont,0.99,0.99,0.97,0.68
beszeit,0.95,0.93,0.78,0.17
rate,0.89,0.89,0.67,0.27
famges,0.99,0.99,0.97,0.68
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.92,0.76,0.3
verm,1.0,1.0,0.99,0.84
weitkred,0.49,0.53,0.24,0.04
wohn,0.99,0.99,0.98,0.77
bishkred,0.64,0.57,0.31,0.01
beruf,0.69,0.68,0.36,0.02
pers,0.51,0.61,0.34,0.17
telef,0.93,0.95,0.88,0.59
gastarb,0.99,0.99,0.98,0.8
kredit,0.85,0.89,0.74,0.44
