21, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,24, Dominican-Republic, <=50K
36, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Iran, >50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, England, <=50K
48, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
48, Self-emp-inc, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
37, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, El-Salvador, >50K
39, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Ecuador, <=50K
26, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Black, Female,0,0,35, Yugoslavia, <=50K
60, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
32, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, South, <=50K
31, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, South, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,68, Ireland, >50K
38, Self-emp-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,1740,40, Nicaragua, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, Canada, <=50K
34, Private, Masters, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
28, Private, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,40, Philippines, <=50K
39, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,25, Vietnam, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,16, Columbia, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,54, Jamaica, <=50K
18, Private, 11th, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,7, Yugoslavia, <=50K
50, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,15, Ecuador, <=50K
