Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.76
moral,0.79,0.75,0.43,0.07
verw,0.89,0.78,0.47,0.01
sparkont,1.0,0.99,0.98,0.7
beszeit,0.94,0.91,0.75,0.15
rate,0.93,0.93,0.77,0.34
famges,0.99,0.99,0.97,0.64
buerge,0.32,0.41,0.14,0.06
wohnzeit,0.94,0.94,0.79,0.35
verm,1.0,1.0,0.99,0.84
weitkred,0.52,0.57,0.27,0.06
wohn,0.99,0.99,0.98,0.75
bishkred,0.67,0.61,0.34,0.03
beruf,0.77,0.81,0.53,0.25
pers,0.61,0.7,0.44,0.23
telef,0.98,0.98,0.96,0.74
gastarb,0.99,0.99,0.97,0.79
kredit,0.84,0.88,0.72,0.42
