Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.95,0.85,0.32
moral,0.75,0.71,0.38,0.05
verw,0.89,0.77,0.45,0.01
sparkont,0.87,0.86,0.56,0.19
beszeit,0.95,0.93,0.8,0.18
rate,0.87,0.87,0.62,0.24
famges,0.88,0.87,0.64,0.21
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.92,0.76,0.32
verm,0.99,0.99,0.96,0.65
weitkred,0.47,0.5,0.23,0.02
wohn,0.83,0.85,0.62,0.24
bishkred,0.65,0.57,0.32,0.01
beruf,0.73,0.7,0.4,0.02
pers,0.42,0.53,0.27,0.14
telef,0.93,0.95,0.87,0.58
gastarb,0.53,0.63,0.36,0.19
kredit,0.85,0.89,0.74,0.44
