Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.93,0.81,0.23
moral,0.81,0.77,0.46,0.09
verw,0.9,0.8,0.49,0.01
sparkont,0.75,0.75,0.37,0.09
beszeit,0.93,0.91,0.74,0.15
rate,0.91,0.92,0.73,0.34
famges,0.79,0.77,0.49,0.11
buerge,0.28,0.36,0.11,0.05
wohnzeit,0.93,0.92,0.76,0.31
verm,0.98,0.97,0.92,0.46
weitkred,0.52,0.57,0.26,0.08
wohn,0.72,0.75,0.46,0.16
bishkred,0.67,0.59,0.33,0.03
beruf,0.73,0.7,0.4,0.02
pers,0.6,0.69,0.43,0.22
telef,0.97,0.98,0.94,0.7
gastarb,0.16,0.25,0.09,0.04
kredit,0.86,0.9,0.76,0.46
