Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.96,0.63
moral,0.8,0.76,0.44,0.08
verw,0.88,0.76,0.43,0.01
sparkont,0.94,0.94,0.77,0.32
beszeit,0.94,0.93,0.76,0.19
rate,0.92,0.92,0.73,0.31
famges,0.94,0.93,0.79,0.37
buerge,0.31,0.4,0.13,0.05
wohnzeit,0.92,0.91,0.74,0.3
verm,1.0,1.0,0.99,0.8
weitkred,0.48,0.54,0.24,0.06
wohn,0.86,0.88,0.67,0.29
bishkred,0.67,0.61,0.34,0.03
beruf,0.71,0.7,0.39,0.04
pers,0.55,0.64,0.38,0.2
telef,0.95,0.96,0.9,0.62
gastarb,0.26,0.37,0.15,0.08
kredit,0.84,0.88,0.72,0.42
