Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.98,0.73
moral,0.78,0.75,0.42,0.07
verw,0.89,0.78,0.48,0.0
sparkont,1.0,1.0,0.99,0.81
beszeit,0.95,0.93,0.79,0.18
rate,0.9,0.9,0.69,0.25
famges,1.0,1.0,0.98,0.72
buerge,0.33,0.41,0.14,0.04
wohnzeit,0.93,0.93,0.78,0.31
verm,1.0,1.0,0.99,0.86
weitkred,0.52,0.57,0.27,0.06
wohn,1.0,1.0,1.0,0.88
bishkred,0.67,0.6,0.34,0.03
beruf,0.72,0.7,0.4,0.02
pers,0.57,0.66,0.4,0.21
telef,0.98,0.98,0.95,0.73
gastarb,0.98,0.99,0.96,0.76
kredit,0.84,0.88,0.72,0.42
