40, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
34, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,45, Iran, >50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, England, <=50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,52, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Tech-support, Husband, Other, Male,0,0,35, Trinadad&Tobago, <=50K
50, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
55, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,60, Ecuador, <=50K
71, Self-emp-not-inc, Assoc-acdm, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,10, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
40, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,28, Scotland, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
31, Private, Some-college, Never-married, Prof-specialty, Husband, Other, Female,0,0,54, Canada, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,20051,0,65, Cuba, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
40, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,54, Vietnam, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
67, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,25, Yugoslavia, >50K
50, Self-emp-not-inc, 1st-4th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,6, Jamaica, <=50K
20, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,0,45, Yugoslavia, <=50K
45, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,0,60, Italy, >50K
42, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
43, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, China, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
61, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, Dominican-Republic, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Germany, <=50K
45, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
51, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
38, Private, Prof-school, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,38, Thailand, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,45, Puerto-Rico, <=50K
42, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, El-Salvador, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,42, Guatemala, <=50K
43, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,60, Guatemala, >50K
42, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,16, Mexico, <=50K
41, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,35, Japan, <=50K
33, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Japan, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,4070,0,50, England, >50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,15, Laos, <=50K
45, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, Black, Male,0,0,54, Philippines, >50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,30, England, <=50K
26, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Hong, <=50K
56, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,44, Mexico, >50K
36, Private, Assoc-voc, Widowed, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Yugoslavia, <=50K
30, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, >50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,60, Dominican-Republic, <=50K
38, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Hungary, <=50K
60, Private, Some-college, Divorced, Prof-specialty, Husband, Other, Female,0,0,50, Nicaragua, >50K
21, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,35, Cuba, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Other, Female,0,0,15, Italy, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,3325,0,45, Ireland, >50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,35, South, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, Black, Female,0,0,40, Taiwan, <=50K
54, Private, 11th, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,30, Ecuador, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Canada, >50K
45, Private, HS-grad, Divorced, Exec-managerial, Husband, Other, Female,0,0,60, Yugoslavia, >50K
36, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
43, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,89, Greece, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,45, Philippines, <=50K
43, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Haiti, >50K
42, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,48, Portugal, <=50K
32, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, Jamaica, <=50K
22, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,25, India, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, France, <=50K
23, Private, Bachelors, Never-married, Sales, Husband, Other, Female,0,0,52, Germany, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,40, Jamaica, >50K
46, Local-gov, 1st-4th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
49, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
26, Private, Doctorate, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, Ecuador, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
20, Private, Bachelors, Never-married, Sales, Wife, Amer-Indian-Eskimo, Male,99999,0,28, Cuba, <=50K
48, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
55, Private, 1st-4th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,10, Scotland, >50K
23, Private, 9th, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
31, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,55, Dominican-Republic, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,60, Holand-Netherlands, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Iran, >50K
64, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
35, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, White, Male,0,0,38, Thailand, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,1641,40, Columbia, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,35, China, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,48, Hong, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
24, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Thailand, <=50K
59, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,38, China, <=50K
23, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,20, England, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Female,0,0,9, Taiwan, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, South, <=50K
37, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Taiwan, >50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,14324,0,40, Puerto-Rico, >50K
22, Private, HS-grad, Never-married, Tech-support, Other-relative, White, Female,0,0,10, Germany, <=50K
46, Local-gov, 9th, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, China, >50K
25, Local-gov, 12th, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
20, Private, Some-college, Never-married, Other-service, Wife, Other, Male,0,0,16, Taiwan, >50K
50, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,70, Iran, >50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Thailand, >50K
39, Self-emp-inc, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,60, England, <=50K
21, State-gov, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,11, Haiti, <=50K
