56, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Cuba, >50K
37, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,45, Iran, >50K
18, Private, 9th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, England, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,15024,0,40, El-Salvador, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
61, Private, 5th-6th, Married-civ-spouse, Sales, Husband, Black, Female,0,0,48, El-Salvador, >50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
24, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,7298,0,40, Yugoslavia, <=50K
44, Private, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
29, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
33, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Scotland, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Ireland, <=50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Nicaragua, >50K
30, Private, Some-college, Never-married, Prof-specialty, Husband, Other, Female,0,0,50, Cambodia, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Cuba, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,46, Philippines, <=50K
30, Private, HS-grad, Divorced, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, Columbia, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,54, Yugoslavia, >50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
49, Private, Bachelors, Widowed, Craft-repair, Husband, Black, Male,927,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Ecuador, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,40, Jamaica, <=50K
