Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.76,0.17
moral,0.8,0.76,0.45,0.07
verw,0.89,0.77,0.48,0.0
sparkont,0.74,0.73,0.37,0.06
beszeit,0.94,0.91,0.74,0.13
rate,0.92,0.91,0.73,0.27
famges,0.76,0.73,0.45,0.08
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.92,0.76,0.31
verm,0.98,0.98,0.93,0.52
weitkred,0.56,0.6,0.3,0.07
wohn,0.7,0.74,0.44,0.16
bishkred,0.67,0.59,0.34,0.02
beruf,0.74,0.71,0.41,0.03
pers,0.61,0.7,0.44,0.23
telef,0.94,0.96,0.9,0.62
gastarb,0.2,0.3,0.11,0.06
kredit,0.85,0.89,0.73,0.44
