,type,this_epoch,total_epochs,batch_num,loss
1,epoch,1,1250,1,18624.482
3,epoch,2,1250,1,17470.504
5,epoch,3,1250,1,16879.895
7,epoch,4,1250,1,16608.545
9,epoch,5,1250,1,16216.641
11,epoch,6,1250,1,15785.528
13,epoch,7,1250,1,15495.344
15,epoch,8,1250,1,15159.116
17,epoch,9,1250,1,14487.937
19,epoch,10,1250,1,13527.429
21,epoch,11,1250,1,12519.325
23,epoch,12,1250,1,11574.382
25,epoch,13,1250,1,10503.167
27,epoch,14,1250,1,9429.726
29,epoch,15,1250,1,8679.294
31,epoch,16,1250,1,8095.1235
33,epoch,17,1250,1,7764.6055
35,epoch,18,1250,1,7358.712
37,epoch,19,1250,1,6952.8525
39,epoch,20,1250,1,6343.0444
41,epoch,21,1250,1,5837.0522
43,epoch,22,1250,1,5480.182
45,epoch,23,1250,1,5281.501
47,epoch,24,1250,1,5174.471
49,epoch,25,1250,1,4967.6553
51,epoch,26,1250,1,4721.326
53,epoch,27,1250,1,4376.578
55,epoch,28,1250,1,4088.2068
57,epoch,29,1250,1,3779.2073
59,epoch,30,1250,1,3558.9202
61,epoch,31,1250,1,3365.1804
63,epoch,32,1250,1,3274.2898
65,epoch,33,1250,1,3169.746
67,epoch,34,1250,1,3078.0464
69,epoch,35,1250,1,2934.9753
71,epoch,36,1250,1,2805.4797
73,epoch,37,1250,1,2615.778
75,epoch,38,1250,1,2421.7388
77,epoch,39,1250,1,2255.4011
79,epoch,40,1250,1,2116.8013
81,epoch,41,1250,1,2018.5142
83,epoch,42,1250,1,1971.2239
85,epoch,43,1250,1,1939.3374
87,epoch,44,1250,1,1915.0116
89,epoch,45,1250,1,1870.7899
91,epoch,46,1250,1,1817.7356
93,epoch,47,1250,1,1750.6052
95,epoch,48,1250,1,1681.6725
97,epoch,49,1250,1,1621.6904
99,epoch,50,1250,1,1563.4639
101,epoch,51,1250,1,1510.7631
103,epoch,52,1250,1,1464.4474
105,epoch,53,1250,1,1408.6312
107,epoch,54,1250,1,1362.1737
109,epoch,55,1250,1,1312.3933
111,epoch,56,1250,1,1277.9537
113,epoch,57,1250,1,1240.2734
115,epoch,58,1250,1,1215.9147
117,epoch,59,1250,1,1191.5305
119,epoch,60,1250,1,1165.7335
121,epoch,61,1250,1,1141.7736
123,epoch,62,1250,1,1110.8357
125,epoch,63,1250,1,1082.9332
127,epoch,64,1250,1,1050.1226
129,epoch,65,1250,1,1017.945
131,epoch,66,1250,1,992.9586
133,epoch,67,1250,1,967.227
135,epoch,68,1250,1,946.0146
137,epoch,69,1250,1,930.57574
139,epoch,70,1250,1,913.0119
141,epoch,71,1250,1,895.56085
143,epoch,72,1250,1,880.19214
145,epoch,73,1250,1,864.9181
147,epoch,74,1250,1,851.2563
149,epoch,75,1250,1,840.84845
151,epoch,76,1250,1,841.8595
153,epoch,77,1250,1,864.63904
155,epoch,78,1250,1,916.3272
157,epoch,79,1250,1,919.77515
159,epoch,80,1250,1,834.4651
161,epoch,81,1250,1,780.7962
163,epoch,82,1250,1,826.2529
