47, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,35, Puerto-Rico, <=50K
30, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,47, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,2918,0,40, United-States, <=50K
69, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,2056,8, United-States, >50K
24, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,54, Mexico, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, Yugoslavia, <=50K
19, Private, Masters, Never-married, Other-service, Own-child, White, Male,0,0,12, Trinadad&Tobago, <=50K
20, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States, <=50K
65, Self-emp-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
19, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,0,0,30, United-States, <=50K
56, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, El-Salvador, >50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,35, Mexico, <=50K
26, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Divorced, Transport-moving, Unmarried, White, Female,0,0,45, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, Mexico, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
