Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.83
moral,0.81,0.78,0.45,0.1
verw,0.9,0.79,0.5,0.02
sparkont,1.0,1.0,1.0,0.86
beszeit,0.96,0.94,0.82,0.23
rate,0.91,0.91,0.72,0.27
famges,1.0,1.0,0.99,0.8
buerge,0.29,0.37,0.12,0.06
wohnzeit,0.95,0.94,0.82,0.37
verm,1.0,1.0,0.99,0.84
weitkred,0.52,0.58,0.26,0.08
wohn,1.0,1.0,0.99,0.81
bishkred,0.67,0.6,0.34,0.03
beruf,0.73,0.71,0.41,0.03
pers,0.61,0.69,0.43,0.23
telef,0.96,0.97,0.92,0.65
gastarb,0.99,1.0,0.99,0.86
kredit,0.86,0.9,0.75,0.45
