47, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, United-States, >50K
65, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
30, Private, 9th, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
55, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Female,0,0,35, United-States, <=50K
38, Local-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
21, Private, 7th-8th, Never-married, Machine-op-inspct, Husband, White, Male,15024,0,54, United-States, <=50K
56, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,36, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Hungary, >50K
57, Self-emp-not-inc, HS-grad, Divorced, Protective-serv, Not-in-family, Black, Female,0,0,30, United-States, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Other-relative, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, South, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Female,0,0,65, United-States, <=50K
44, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,2, United-States, <=50K
31, Federal-gov, Bachelors, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
64, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,14470,0,50, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,45, Germany, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, Greece, >50K
55, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,48, United-States, <=50K
22, Private, Some-college, Never-married, Tech-support, Not-in-family, Black, Female,0,0,48, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,96, United-States, <=50K
33, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
