47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Dominican-Republic, >50K
22, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,35, Iran, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, England, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,0,30, El-Salvador, <=50K
46, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
19, Private, 10th, Never-married, Other-service, Other-relative, Black, Female,0,0,40, El-Salvador, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,50, Ecuador, <=50K
65, Self-emp-not-inc, 9th, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,24, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,38, Dominican-Republic, <=50K
62, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Scotland, <=50K
35, Private, 7th-8th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Scotland, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
49, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Mexico, >50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Cambodia, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Philippines, >50K
55, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,38, Vietnam, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Yugoslavia, >50K
33, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Jamaica, <=50K
38, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
46, Federal-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,60, Italy, >50K
58, Private, Some-college, Divorced, Protective-serv, Unmarried, White, Female,0,0,40, Trinadad&Tobago, <=50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,16, China, >50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, El-Salvador, <=50K
