Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.83
moral,0.78,0.75,0.42,0.08
verw,0.9,0.81,0.54,0.02
sparkont,1.0,0.99,0.98,0.7
beszeit,0.94,0.92,0.77,0.16
rate,0.91,0.91,0.72,0.29
famges,0.99,0.99,0.97,0.66
buerge,0.3,0.38,0.13,0.06
wohnzeit,0.94,0.93,0.79,0.3
verm,1.0,1.0,0.99,0.86
weitkred,0.48,0.53,0.23,0.05
wohn,0.99,0.99,0.98,0.77
bishkred,0.67,0.6,0.34,0.03
beruf,0.76,0.72,0.44,0.02
pers,0.61,0.7,0.44,0.23
telef,0.97,0.98,0.93,0.69
gastarb,0.99,0.99,0.97,0.79
kredit,0.85,0.89,0.74,0.44
