Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.78,0.74,0.42,0.07
verw,0.9,0.79,0.47,0.01
sparkont,1.0,1.0,1.0,0.86
beszeit,0.94,0.91,0.75,0.15
rate,0.91,0.91,0.71,0.3
famges,1.0,1.0,0.98,0.72
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.93,0.92,0.77,0.3
verm,1.0,1.0,0.99,0.79
weitkred,0.48,0.52,0.24,0.03
wohn,1.0,1.0,0.99,0.85
bishkred,0.65,0.57,0.32,0.01
beruf,0.71,0.7,0.38,0.03
pers,0.53,0.63,0.36,0.19
telef,0.97,0.98,0.95,0.71
gastarb,0.98,0.99,0.97,0.77
kredit,0.8,0.85,0.67,0.38
