28, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
50, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, Laos, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Germany, <=50K
23, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, France, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
19, Private, 11th, Never-married, Sales, Own-child, Black, Female,0,0,25, France, <=50K
29, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,50, El-Salvador, <=50K
27, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, El-Salvador, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,54, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,5083,0,50, Mexico, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,7687,0,70, Puerto-Rico, >50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Canada, >50K
28, Self-emp-not-inc, Some-college, Never-married, Sales, Other-relative, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
29, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,50, Trinadad&Tobago, >50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Female,7298,0,50, Vietnam, >50K
48, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
43, Private, Masters, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,42, Yugoslavia, <=50K
23, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
39, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,7195,0,60, Yugoslavia, <=50K
36, Federal-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,45, El-Salvador, <=50K
25, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
32, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,45, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, Columbia, >50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,3893,0,40, France, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,40, Ecuador, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, Guatemala, <=50K
37, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,54, Canada, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Canada, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, England, <=50K
47, Private, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,1876,40, Honduras, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Hong, >50K
31, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,45, England, <=50K
19, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,10, Ecuador, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,48, Puerto-Rico, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Philippines, <=50K
44, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Peru, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Greece, >50K
41, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Poland, >50K
58, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Male,25027,0,40, Trinadad&Tobago, >50K
24, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Male,7687,0,45, Germany, >50K
68, Local-gov, HS-grad, Widowed, Farming-fishing, Not-in-family, Black, Female,0,0,32, Ireland, <=50K
29, Local-gov, HS-grad, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,4395,0,45, Portugal, >50K
22, Private, Bachelors, Separated, Other-service, Unmarried, Other, Male,0,0,40, Peru, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,3145,0,40, India, <=50K
37, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,1902,50, Yugoslavia, >50K
18, Private, 12th, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,30, El-Salvador, <=50K
45, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Jamaica, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,45, Scotland, >50K
58, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,35, Dominican-Republic, <=50K
24, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Outlying-US(Guam-USVI-etc), >50K
49, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Peru, <=50K
39, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, >50K
30, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,60, United-States, <=50K
45, Private, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, El-Salvador, <=50K
30, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, China, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,32, Yugoslavia, >50K
46, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,1887,40, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Thailand, <=50K
23, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, Hungary, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,15024,0,40, United-States, >50K
35, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Male,0,0,12, Japan, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, Greece, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Guatemala, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Unmarried, Other, Male,634,0,40, Peru, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
35, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, El-Salvador, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
45, Self-emp-inc, Some-college, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, Guatemala, >50K
20, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
41, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, China, <=50K
49, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,50, Ecuador, >50K
46, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
38, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Divorced, Tech-support, Not-in-family, Other, Female,0,0,35, Cuba, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, China, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Unmarried, Other, Female,0,0,48, Ireland, <=50K
43, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,45, United-States, <=50K
59, Local-gov, Doctorate, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
33, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, >50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,48, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, France, <=50K
36, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Guatemala, <=50K
47, Local-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Male,0,2218,40, Columbia, <=50K
40, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
64, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, >50K
35, Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Germany, <=50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Hungary, >50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2412,60, United-States, >50K
33, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
40, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,45, Hong, <=50K
35, Private, Bachelors, Divorced, Handlers-cleaners, Husband, Black, Male,0,0,60, England, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,0,0,40, Haiti, <=50K
61, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Other, Female,15024,0,20, United-States, >50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, South, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Other, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,1680,54, Taiwan, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, China, <=50K
50, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, Other, Male,0,0,45, United-States, <=50K
30, Private, Doctorate, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,8, South, <=50K
59, State-gov, HS-grad, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
64, Private, Some-college, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Peru, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,45, United-States, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, France, >50K
42, State-gov, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,60, India, <=50K
30, Private, 10th, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
72, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,17, Puerto-Rico, >50K
25, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Nicaragua, <=50K
49, State-gov, Some-college, Widowed, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,32, Italy, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,48, South, <=50K
59, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Cuba, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hungary, <=50K
41, Private, Some-college, Divorced, Sales, Not-in-family, Black, Female,0,0,60, United-States, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,34, Mexico, >50K
50, Federal-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Iran, <=50K
49, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,32, Peru, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Husband, White, Female,0,0,45, South, <=50K
61, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Cuba, <=50K
54, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
19, State-gov, Bachelors, Never-married, Other-service, Own-child, Other, Male,0,0,12, Hungary, <=50K
33, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,36, Hungary, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, >50K
61, Private, Masters, Married-civ-spouse, Sales, Husband, Black, Female,15024,0,38, Iran, >50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,92, Outlying-US(Guam-USVI-etc), <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,3270,0,45, Philippines, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,3043,0,50, Scotland, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
