Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.83
moral,0.8,0.77,0.45,0.09
verw,0.89,0.77,0.47,0.01
sparkont,1.0,1.0,0.99,0.72
beszeit,0.95,0.93,0.8,0.19
rate,0.91,0.91,0.72,0.3
famges,0.99,0.99,0.98,0.71
buerge,0.35,0.42,0.15,0.05
wohnzeit,0.94,0.94,0.81,0.36
verm,1.0,1.0,0.99,0.79
weitkred,0.5,0.56,0.25,0.07
wohn,1.0,1.0,0.99,0.8
bishkred,0.66,0.6,0.33,0.03
beruf,0.75,0.75,0.43,0.06
pers,0.6,0.69,0.43,0.23
telef,0.96,0.97,0.93,0.68
gastarb,0.99,0.99,0.97,0.79
kredit,0.87,0.9,0.77,0.47
