35, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
50, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,3908,0,45, Italy, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, France, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, England, >50K
41, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, >50K
29, Private, 12th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, England, <=50K
49, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
48, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Female,0,0,60, Ecuador, <=50K
27, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, Trinadad&Tobago, <=50K
59, Private, 7th-8th, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, Jamaica, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Philippines, >50K
50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Canada, >50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,2174,0,40, Dominican-Republic, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Own-child, Other, Female,0,0,25, Scotland, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Own-child, Other, Female,99999,0,40, Vietnam, >50K
52, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
39, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,70, Yugoslavia, >50K
38, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
32, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,48, El-Salvador, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,70, Laos, <=50K
23, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,65, United-States, <=50K
29, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, England, >50K
57, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Ecuador, >50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Greece, <=50K
44, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Female,0,0,40, Canada, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
43, State-gov, Some-college, Separated, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,30, Yugoslavia, <=50K
31, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,20, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,38, England, <=50K
28, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, Holand-Netherlands, <=50K
30, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,60, Holand-Netherlands, <=50K
27, State-gov, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,80, El-Salvador, <=50K
38, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Ecuador, <=50K
51, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Philippines, <=50K
41, Local-gov, Assoc-voc, Never-married, Adm-clerical, Wife, Other, Male,7687,0,35, Nicaragua, >50K
41, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,60, Mexico, <=50K
53, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Germany, >50K
26, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
47, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Scotland, >50K
67, Federal-gov, 7th-8th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,24, France, <=50K
46, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,25, Hungary, <=50K
40, Federal-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
21, Private, Bachelors, Never-married, Other-service, Unmarried, Other, Male,0,0,50, Mexico, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,32113,0,60, Hong, >50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, Other, Male,7298,0,35, Dominican-Republic, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
50, Private, Bachelors, Separated, Other-service, Unmarried, Black, Female,0,0,40, Iran, <=50K
39, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Philippines, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Dominican-Republic, <=50K
30, Private, 10th, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,60, Laos, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, >50K
32, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,45, United-States, <=50K
26, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,45, El-Salvador, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,15, Canada, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,50, Yugoslavia, >50K
55, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,1887,35, Scotland, <=50K
36, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Holand-Netherlands, <=50K
64, Private, 7th-8th, Widowed, Other-service, Husband, Asian-Pac-Islander, Female,0,0,25, Taiwan, <=50K
43, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Laos, <=50K
37, Private, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, Ireland, <=50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4386,0,40, Germany, >50K
22, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,0,0,35, Greece, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,16, Jamaica, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,40, Mexico, >50K
23, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
63, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Laos, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,42, El-Salvador, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,45, Dominican-Republic, <=50K
51, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, Greece, >50K
32, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, China, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, >50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Hong, >50K
