Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.75
moral,0.76,0.71,0.39,0.07
verw,0.9,0.79,0.47,0.02
sparkont,0.99,0.99,0.97,0.7
beszeit,0.95,0.94,0.81,0.21
rate,0.92,0.93,0.75,0.35
famges,0.99,0.99,0.97,0.64
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.92,0.91,0.74,0.3
verm,1.0,1.0,0.99,0.85
weitkred,0.48,0.52,0.23,0.04
wohn,1.0,1.0,0.99,0.81
bishkred,0.65,0.57,0.31,0.01
beruf,0.72,0.7,0.39,0.02
pers,0.52,0.62,0.35,0.18
telef,0.96,0.97,0.92,0.66
gastarb,0.99,0.99,0.97,0.79
kredit,0.78,0.84,0.64,0.36
