43, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,1902,60, United-States, >50K
39, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,35, United-States, <=50K
55, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, 12th, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,30, United-States, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, 11th, Never-married, Machine-op-inspct, Husband, White, Male,0,1887,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
64, Private, Some-college, Married-spouse-absent, Other-service, Husband, White, Female,0,0,20, El-Salvador, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,35, United-States, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, United-States, >50K
39, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7345,0,45, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,1887,25, United-States, >50K
29, Private, 5th-6th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
36, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,7687,0,54, United-States, >50K
28, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,4478,0,50, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1999,40, United-States, >50K
43, Self-emp-not-inc, Some-college, Divorced, Sales, Husband, White, Male,0,0,65, United-States, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,36, Mexico, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,36, United-States, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
59, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,50, Germany, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Haiti, >50K
49, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,1977,40, United-States, <=50K
62, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,47, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
65, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,3145,0,70, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
63, Federal-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,69, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,7687,0,50, United-States, >50K
27, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
41, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,38, United-States, <=50K
63, Private, 9th, Divorced, Other-service, Not-in-family, White, Male,0,0,35, United-States, >50K
29, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, <=50K
28, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,10, United-States, <=50K
52, Federal-gov, HS-grad, Widowed, Farming-fishing, Husband, Black, Male,3886,0,45, United-States, >50K
20, Private, Assoc-voc, Separated, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
40, Private, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,25, Vietnam, <=50K
42, Private, Assoc-voc, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
52, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
29, Private, 10th, Never-married, Tech-support, Other-relative, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Divorced, Exec-managerial, Own-child, White, Female,0,0,20, United-States, >50K
39, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
47, Private, 11th, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
22, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
34, Private, HS-grad, Never-married, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,12, United-States, >50K
32, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Female,0,0,54, United-States, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, <=50K
35, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,72, United-States, <=50K
56, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
39, Private, 5th-6th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,50, United-States, <=50K
49, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Male,0,0,30, United-States, <=50K
55, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Male,4386,0,40, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
28, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, >50K
28, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, White, Female,0,0,40, Mexico, <=50K
37, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, United-States, >50K
46, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,38, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,99999,0,60, United-States, >50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Mexico, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,38, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,43, United-States, >50K
35, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,75, United-States, >50K
38, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
