Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.92,0.49
moral,0.81,0.77,0.46,0.08
verw,0.91,0.82,0.55,0.02
sparkont,0.9,0.9,0.64,0.24
beszeit,0.94,0.92,0.77,0.15
rate,0.93,0.93,0.76,0.31
famges,0.89,0.89,0.68,0.27
buerge,0.33,0.41,0.14,0.05
wohnzeit,0.93,0.92,0.76,0.33
verm,1.0,1.0,0.98,0.77
weitkred,0.55,0.59,0.29,0.06
wohn,0.88,0.9,0.72,0.34
bishkred,0.67,0.6,0.34,0.02
beruf,0.74,0.7,0.41,0.02
pers,0.63,0.71,0.46,0.24
telef,0.96,0.97,0.92,0.67
gastarb,0.73,0.8,0.58,0.32
kredit,0.86,0.89,0.75,0.45
