Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.16
moral,0.78,0.74,0.42,0.08
verw,0.9,0.8,0.48,0.03
sparkont,0.71,0.71,0.33,0.07
beszeit,0.94,0.92,0.76,0.19
rate,0.91,0.91,0.71,0.3
famges,0.78,0.76,0.47,0.09
buerge,0.26,0.34,0.11,0.04
wohnzeit,0.92,0.91,0.74,0.3
verm,0.98,0.98,0.92,0.47
weitkred,0.47,0.53,0.23,0.06
wohn,0.67,0.72,0.41,0.15
bishkred,0.66,0.57,0.32,0.01
beruf,0.73,0.71,0.41,0.03
pers,0.56,0.65,0.39,0.2
telef,0.97,0.98,0.94,0.69
gastarb,0.15,0.24,0.08,0.04
kredit,0.84,0.88,0.72,0.43
