Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.76
moral,0.77,0.73,0.41,0.09
verw,0.9,0.79,0.47,0.01
sparkont,0.98,0.98,0.92,0.51
beszeit,0.95,0.93,0.79,0.2
rate,0.92,0.92,0.73,0.3
famges,0.98,0.98,0.93,0.55
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.94,0.93,0.78,0.36
verm,1.0,1.0,1.0,0.88
weitkred,0.5,0.55,0.25,0.05
wohn,0.98,0.98,0.95,0.62
bishkred,0.67,0.6,0.34,0.01
beruf,0.73,0.71,0.41,0.02
pers,0.53,0.63,0.36,0.19
telef,0.96,0.97,0.92,0.65
gastarb,0.96,0.97,0.93,0.68
kredit,0.84,0.88,0.73,0.43
