28, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
45, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Iran, >50K
22, Private, Bachelors, Never-married, Other-service, Own-child, Other, Female,0,0,24, England, <=50K
29, Private, HS-grad, Divorced, Other-service, Own-child, Other, Female,0,0,40, El-Salvador, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
23, Private, 12th, Never-married, Prof-specialty, Not-in-family, Black, Female,3921,0,40, El-Salvador, <=50K
23, Private, Masters, Never-married, Other-service, Own-child, Other, Female,0,0,40, Ecuador, <=50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,54, Yugoslavia, <=50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,34, Dominican-Republic, <=50K
44, Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, Scotland, <=50K
24, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,40, Scotland, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,27, Ireland, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Nicaragua, >50K
39, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,35, Canada, <=50K
35, Self-emp-not-inc, Preschool, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Poland, <=50K
25, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,39, Vietnam, <=50K
43, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, China, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Yugoslavia, <=50K
20, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
44, Private, Bachelors, Widowed, Exec-managerial, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
36, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, >50K
24, Private, Masters, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,10, Jamaica, <=50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Trinadad&Tobago, >50K
43, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, China, >50K
