35, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,4963,0,45, Laos, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Germany, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, France, >50K
41, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
29, Private, 12th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, France, <=50K
49, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, England, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Female,0,0,60, El-Salvador, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
59, Private, 7th-8th, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, Mexico, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Puerto-Rico, >50K
50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Canada, >50K
19, Private, Masters, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,2174,0,40, Ecuador, <=50K
18, Private, Some-college, Never-married, Farming-fishing, Own-child, Other, Female,0,0,25, Trinadad&Tobago, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Wife, Other, Female,99999,0,40, United-States, >50K
52, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Cuba, <=50K
38, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,70, Yugoslavia, >50K
37, Private, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,38, Outlying-US(Guam-USVI-etc), <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
32, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,47, England, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,70, Outlying-US(Guam-USVI-etc), >50K
