Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.97,0.89,0.42
moral,0.78,0.74,0.41,0.06
verw,0.9,0.8,0.48,0.01
sparkont,0.91,0.91,0.67,0.26
beszeit,0.95,0.92,0.78,0.16
rate,0.91,0.91,0.71,0.29
famges,0.92,0.91,0.73,0.31
buerge,0.3,0.38,0.13,0.06
wohnzeit,0.93,0.92,0.76,0.34
verm,1.0,1.0,0.98,0.74
weitkred,0.48,0.53,0.23,0.05
wohn,0.91,0.92,0.77,0.36
bishkred,0.64,0.57,0.31,0.02
beruf,0.73,0.71,0.4,0.03
pers,0.5,0.6,0.33,0.17
telef,0.95,0.96,0.91,0.64
gastarb,0.74,0.8,0.59,0.32
kredit,0.76,0.82,0.62,0.35
