38, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
64, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,5066,0,40, United-States, <=50K
43, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
80, Private, 1st-4th, Widowed, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, 12th, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,8, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,7283,0,40, United-States, <=50K
42, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1886,40, United-States, >50K
51, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Germany, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
31, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Thailand, >50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,1886,40, United-States, <=50K
41, Private, Bachelors, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
50, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,35, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,9452,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
33, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,25, United-States, <=50K
