Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.91,0.47
moral,0.8,0.77,0.45,0.08
verw,0.89,0.79,0.48,0.02
sparkont,0.9,0.9,0.65,0.25
beszeit,0.95,0.93,0.79,0.22
rate,0.91,0.91,0.71,0.31
famges,0.92,0.92,0.75,0.31
buerge,0.35,0.42,0.15,0.05
wohnzeit,0.94,0.93,0.79,0.34
verm,0.99,0.99,0.96,0.65
weitkred,0.51,0.55,0.25,0.05
wohn,0.89,0.91,0.74,0.34
bishkred,0.67,0.61,0.34,0.03
beruf,0.71,0.68,0.38,0.02
pers,0.57,0.67,0.4,0.21
telef,0.97,0.98,0.94,0.69
gastarb,0.71,0.78,0.55,0.3
kredit,0.85,0.89,0.73,0.44
