68, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
49, Private, Masters, Divorced, Prof-specialty, Husband, White, Male,99999,0,60, Hungary, >50K
47, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Unmarried, Other, Female,0,0,8, England, <=50K
61, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
26, Private, 12th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,20, Ecuador, <=50K
36, Private, Bachelors, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,60, Yugoslavia, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,35, Dominican-Republic, <=50K
37, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,35, Scotland, <=50K
39, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Scotland, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,45, Iran, <=50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,48, Mexico, >50K
40, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Cambodia, <=50K
23, Private, Some-college, Married-spouse-absent, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Philippines, <=50K
35, Private, Bachelors, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
43, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,60, Yugoslavia, >50K
36, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
41, Private, Bachelors, Separated, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
59, Federal-gov, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, Jamaica, >50K
32, Private, Some-college, Divorced, Prof-specialty, Other-relative, White, Female,0,0,40, Trinadad&Tobago, <=50K
39, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,30, China, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, <=50K
23, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Black, Female,0,0,30, Dominican-Republic, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,65, Germany, <=50K
30, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7332,0,50, Canada, >50K
