Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,1.0,0.87
moral,0.8,0.77,0.44,0.07
verw,0.9,0.8,0.5,0.03
sparkont,1.0,1.0,1.0,0.85
beszeit,0.95,0.94,0.81,0.23
rate,0.92,0.92,0.75,0.31
famges,1.0,1.0,0.99,0.78
buerge,0.3,0.38,0.13,0.05
wohnzeit,0.93,0.92,0.76,0.25
verm,1.0,1.0,0.99,0.78
weitkred,0.52,0.57,0.26,0.07
wohn,1.0,1.0,1.0,0.89
bishkred,0.67,0.59,0.33,0.01
beruf,0.81,0.84,0.59,0.27
pers,0.62,0.71,0.45,0.24
telef,0.97,0.98,0.95,0.72
gastarb,1.0,1.0,0.99,0.89
kredit,0.86,0.89,0.75,0.45
